physical.condition_raw,merge.figure,physical.condition_main_analysis,physical.condition_sub_analysis,assigned.age,total.N,autism.N,rep.effect,SE,rep.metric,AorR
Sleep_Sleep latency,Sleep,Sleep_Sleep latency_SMD,,27.2,30,20,1.1689,0.4157,SMD,SMD
Sleep_sleep latency,Sleep,Sleep_Sleep latency_SMD,,22.6,16,8,1.6678,0.5805,SMD,SMD
Sleep_sleep latency,Sleep,Sleep_Sleep latency_SMD,,15.6,41,28,0.973,0.3524,SMD,SMD
sleep_Sleep latency,Sleep,Sleep_Sleep latency_SMD,,10.05,156,78,1.48,0.1811,SMD,SMD
sleep_Sleep latency,Sleep,Sleep_Sleep latency_SMD,,6.225,21,11,1.06,0.4719,SMD,SMD
sleep_Sleep latency,Sleep,Sleep_Sleep latency_SMD,,11.66,117,64,1.6,0.2143,SMD,SMD
Sleep_Sleep latency (min),Sleep,Sleep_Sleep latency_SMD,,5.5,34,22,0.7475,0.3701,SMD,SMD
Sleep_Sleep latency (min),Sleep,Sleep_Sleep latency_SMD,,5.1,30,18,1.2285,0.405,SMD,SMD
sleep_sleep latency(min),Sleep,Sleep_Sleep latency_SMD,,8.72,18,13,0.89,0.551,SMD,SMD
sleep_sleep latency(min),Sleep,Sleep_Sleep latency_SMD,,6.225,21,11,1.18,0.4158,SMD,SMD
Sleep_Sleep length (min),Sleep,Sleep_Total sleep time_SMD,,5.5,34,22,-0.6693,0.3679,SMD,SMD
Sleep_Sleep length (min),Sleep,Sleep_Total sleep time_SMD,,5.1,30,18,-1.8882,0.4453,SMD,SMD
Sleep_Sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,5.5,34,22,0.9157,0.3757,SMD,SMD
Sleep_Sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,5.1,30,18,1.9325,0.4485,SMD,SMD
Sleep_Sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,5.3,136,71,0.44,0.1735,SMD,SMD
Sleep_Sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,8.5,212,122,0.52,0.1403,SMD,SMD
Sleep_Sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,9.4,46,23,0.83,0.3087,SMD,SMD
Sleep_Sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,4.7,266,104,1.43,0.1403,SMD,SMD
Sleep_Sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,7.1,120,60,0.57,0.1862,SMD,SMD
Sleep_Sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,6,546,212,0.27,0.0867,SMD,SMD
Sleep_Sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,7.33,210,108,0.83,0.1454,SMD,SMD
Sleep_Sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,8.2,274,106,0.73,0.1276,SMD,SMD
Sleep_Sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,5,72,18,0.91,0.2832,SMD,SMD
Sleep_Sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,8.1,66,35,-0.3,0.25,SMD,SMD
Sleep_Sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,10.27,24,11,0.41,0.4133,SMD,SMD
Sleep_Sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,3.28,65,34,0.58,0.2551,SMD,SMD
Sleep_Sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,4.7,98,49,0.66,0.2092,SMD,SMD
Sleep_Sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,9,77,35,0.46,0.2321,SMD,SMD
Sleep_Sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,11.3,42,22,3.06,0.4668,SMD,SMD
Sleep_Sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,9,403,31,0.57,0.1888,SMD,SMD
Sleep_Sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,9.84,84,46,0.92,0.2321,SMD,SMD
Sleep_Sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,7.49,277,166,1.68,0.1429,SMD,SMD
Sleep_Sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,9.12,47,12,0.52,0.3393,SMD,SMD
Sleep_Sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,7.53,99,59,0.53,0.2092,SMD,SMD
Sleep_Sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,4.94,131,69,8.45,0.5587,SMD,SMD
Sleep_Sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,5.23,341,169,0.22,0.1097,SMD,SMD
sleep_sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,3.6,1203,734,0.7217,0.0609,SMD,SMD
sleep_sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,13.5,718,249,1.0437,0.0831,SMD,SMD
sleep_sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,5.9,869,400,0.4468,0.0689,SMD,SMD
sleep_sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,8.7,870,401,0.5733,0.0694,SMD,SMD
Sleep_sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,11.17,96,48,0.2306,0.2048,SMD,SMD
sleep_sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,11.53,964,60,0.9428,0.135,SMD,SMD
sleep_sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,21.1,105,27,0.812,0.23,SMD,SMD
sleep_sleep onset delay,Sleep,Sleep_Sleep latency_SMD,,27.2,30,20,0.296,0.389,SMD,SMD
Sleep_sleep onset latency,Sleep,Sleep_Sleep latency_SMD,,21.1,105,27,1.8148,0.256,SMD,SMD
Sleep_sleep onset latency,Sleep,Sleep_Sleep latency_SMD,,3.91,137,68,0.1674,0.1712,SMD,SMD
Sleep_sleep onset latency,Sleep,Sleep_Sleep latency_SMD,,3.93,137,89,0.1674,0.1712,SMD,SMD
Sleep_sleep onset latency,Sleep,Sleep_Sleep latency_SMD,,10.8,64,32,1.11,0.2704,SMD,SMD
Sleep_sleep onset latency,Sleep,Sleep_Sleep latency_SMD,,10.8,64,32,0.79,0.2602,SMD,SMD
Sleep_sleep onset latency,Sleep,Sleep_Sleep latency_SMD,,15.5,39,25,0.9,0.352,SMD,SMD
Sleep_sleep onset latency,Sleep,Sleep_Sleep latency_SMD,,15.5,49,23,0.44,0.2908,SMD,SMD
Sleep_sleep onset latency,Sleep,Sleep_Sleep latency_SMD,,13.3,9,4,-0.43,0.6837,SMD,SMD
Sleep_sleep onset latency,Sleep,Sleep_Sleep latency_SMD,,10.36,18,13,0.89,0.551,SMD,SMD
Sleep_sleep onset latency,Sleep,Sleep_Sleep latency_SMD,,8.89,50,29,0.53,0.2934,SMD,SMD
Sleep_sleep onset latency,Sleep,Sleep_Sleep latency_SMD,,4.7,266,104,1.12,0.1352,SMD,SMD
Sleep_sleep onset latency,Sleep,Sleep_Sleep latency_SMD,,7.8,44,21,0.15,0.3036,SMD,SMD
Sleep_sleep onset latency,Sleep,Sleep_Sleep latency_SMD,,10.27,24,11,0.8,0.4286,SMD,SMD
Sleep_sleep onset latency,Sleep,Sleep_Sleep latency_SMD,,10.27,24,11,0.87,0.4337,SMD,SMD
Sleep_sleep onset latency,Sleep,Sleep_Sleep latency_SMD,,9.4,34,16,0.46,0.3495,SMD,SMD
Sleep_sleep onset latency,Sleep,Sleep_Sleep latency_SMD,,7.79,74,38,0.66,0.2398,SMD,SMD
Sleep_sleep onset latency,Sleep,Sleep_Sleep latency_SMD,,16.88,29,10,0.83,0.4082,SMD,SMD
Sleep_sleep onset latency,Sleep,Sleep_Sleep latency_SMD,,7.53,94,37,0.7,0.2194,SMD,SMD
Sleep_sleep onset latency,Sleep,Sleep_Sleep latency_SMD,,9.6,310,67,0.7,0.1403,SMD,SMD
Sleep_sleep onset latency,Sleep,Sleep_Sleep latency_SMD,,34.41,72,36,0.655,0.242,SMD,SMD
Sleep_sleep onset latency,Sleep,Sleep_Sleep latency_SMD,,34.41,72,36,0.657,0.242,SMD,SMD
Sleep_sleep onset latency,Sleep,Sleep_Sleep latency_SMD,,33,92,41,1.407,0.234,SMD,SMD
Sleep_sleep onset latency,Sleep,Sleep_Sleep latency_SMD,,40.3,79,29,0.889,0.244,SMD,SMD
Sleep_sleep onset latency,Sleep,Sleep_Sleep latency_SMD,,30.8,28,10,0.586,0.398,SMD,SMD
Sleep_sleep onset latency,Sleep,Sleep_Sleep latency_SMD,,21.1,105,27,1.213,0.238,SMD,SMD
Sleep_sleep onset latency,Sleep,Sleep_Sleep latency_SMD,,27.2,30,20,0.649,0.396,SMD,SMD
Sleep_Sleep onset latency (min),Sleep,Sleep_Sleep latency_SMD,,34.41,72,36,0.65,0.2398,SMD,SMD
Sleep_Sleep onset latency (min),Sleep,Sleep_Sleep latency_SMD,,34.41,72,36,0.65,0.2423,SMD,SMD
Sleep_Sleep onset latency (min),Sleep,Sleep_Sleep latency_SMD,,33,92,41,1.4,0.2347,SMD,SMD
Sleep_Sleep onset latency (min),Sleep,Sleep_Sleep latency_SMD,,21.6,28,17,0.2,0.3878,SMD,SMD
Sleep_Sleep onset latency (min),Sleep,Sleep_Sleep latency_SMD,,30.8,24,10,1.1,0.4235,SMD,SMD
Sleep_Sleep onset latency (min),Sleep,Sleep_Sleep latency_SMD,,27.2,30,20,0.67,0.398,SMD,SMD
Sleep_Sleep onset latency (min),Sleep,Sleep_Sleep latency_SMD,,27.2,30,20,0.29,0.3903,SMD,SMD
Sleep_sleep period ,Sleep,Sleep_Sleep period time_SMD,,27.2,30,20,0.6548,0.3964,SMD,SMD
Sleep_sleep period ,Sleep,Sleep_Sleep period time_SMD,,27.2,29,20,0.0512,0.4014,SMD,SMD
Sleep_sleep period time,Sleep,Sleep_Sleep period time_SMD,,12.7,20,8,-0.419,0.4612,SMD,SMD
Sleep_sleep period time,Sleep,Sleep_Sleep period time_SMD,,11.9,22,10,-1.187,0.4641,SMD,SMD
sleep_sleep period time(min),Sleep,Sleep_Sleep period time_SMD,,8.72,18,13,-1.7,0.6173,SMD,SMD
sleep_sleep period time(min),Sleep,Sleep_Sleep period time_SMD,,9.4,34,16,-0.99,0.3648,SMD,SMD
sleep_sleep problem,Sleep,Sleep_Sleep problem_SMD,,40.3,79,29,1.617,0.267,SMD,SMD
Sleep_sleep problems,Sleep,Sleep_sleep problem_frequency,,6.8,,54,0.5741,0.06729,frequency,frequency
Sleep_sleep-disordered breathing,Sleep,Sleep_Sleep disordered breathing_ratio,,7.2,,48762,1.96,0.0221,RR,ratio
Sleep_Slow wave sleep,Sleep,Sleep_Slow wave sleep_SMD,,12.7,20,8,0.572,0.4653,SMD,SMD
Sleep_Slow wave sleep,Sleep,Sleep_Slow wave sleep_SMD,,11.9,22,10,0.388,0.4322,SMD,SMD
Sleep_Slow wave sleep,Sleep,Sleep_Slow wave sleep_SMD,,18.2,18,10,-0.5252,0.4824,SMD,SMD
Sleep_Slow wave sleep,Sleep,Sleep_Slow wave sleep_SMD,,5.5,34,22,-1.7565,0.4173,SMD,SMD
Sleep_Slow wave sleep,Sleep,Sleep_Slow wave sleep_SMD,,5.1,30,18,-5.0347,0.7492,SMD,SMD
Sleep_slow wave sleep,Sleep,Sleep_Slow wave sleep_SMD,,22.1,32,16,-2.829,0.5001,SMD,SMD
Sleep_slow wave sleep,Sleep,Sleep_Slow wave sleep_SMD,,24.2,22,6,-4.2632,0.8014,SMD,SMD
Sleep_slow wave sleep,Sleep,Sleep_Slow wave sleep_SMD,,20.9,26,10,-1.6179,0.4613,SMD,SMD
Sleep_slow wave sleep,Sleep,Sleep_Slow wave sleep_SMD,,27.2,30,20,2.1713,0.4781,SMD,SMD
Sleep_slow wave sleep,Sleep,Sleep_Slow wave sleep_SMD,,13.3,9,4,0.94,0.7321,SMD,SMD
Sleep_slow wave sleep,Sleep,Sleep_Slow wave sleep_SMD,,10.36,18,13,1.03,0.5612,SMD,SMD
Sleep_slow wave sleep,Sleep,Sleep_Slow wave sleep_SMD,,10.27,24,11,-1.11,0.4464,SMD,SMD
Sleep_slow wave sleep,Sleep,Sleep_Slow wave sleep_SMD,,11.3,36,19,0.11,0.3342,SMD,SMD
Sleep_slow wave sleep,Sleep,Sleep_Slow wave sleep_SMD,,21.7,29,17,-0.59,0.3852,SMD,SMD
Sleep_slow wave sleep,Sleep,Sleep_Slow wave sleep_SMD,,27.2,30,20,0.54,0.3954,SMD,SMD
sleep_Slow wave sleep (%),Sleep,Sleep_Slow wave sleep_SMD,,8.72,18,13,1.03,0.5612,SMD,SMD
sleep_Slow wave sleep (%),Sleep,Sleep_Slow wave sleep_SMD,,7.8,44,21,-0.37,0.3036,SMD,SMD
sleep_Slow wave sleep (%),Sleep,Sleep_Slow wave sleep_SMD,,6.225,21,11,1.17,0.4158,SMD,SMD
sleep_Slow wave sleep (%),Sleep,Sleep_Slow wave sleep_SMD,,9.4,34,16,0.31,0.3469,SMD,SMD
Sleep_time in bed,Sleep,Sleep_Time in bed_SMD,,12.7,20,8,-0.013,0.4564,SMD,SMD
Sleep_time in bed,Sleep,Sleep_Time in bed_SMD,,11.9,22,10,-0.852,0.447,SMD,SMD
Sleep_time in bed,Sleep,Sleep_Time in bed_SMD,,9.4,34,16,-0.902,0.3606,SMD,SMD
Sleep_time in bed,Sleep,Sleep_Time in bed_SMD,,27.2,30,20,1.3198,0.4231,SMD,SMD
Sleep_time in bed,Sleep,Sleep_Time in bed_SMD,,3.93,137,89,-0.6244,0.175,SMD,SMD
Sleep_time in bed,Sleep,Sleep_Time in bed_SMD,,33,92,41,0.8819,0.2196,SMD,SMD
Sleep_time in bed,Sleep,Sleep_Time in bed_SMD,,27.2,29,20,-0.018,0.4014,SMD,SMD
sleep_Time in bed(min),Sleep,Sleep_Time in bed_SMD,,8.72,18,13,-1.61,0.6071,SMD,SMD
sleep_Time in bed(min),Sleep,Sleep_Time in bed_SMD,,7.8,44,21,-0.49,0.3087,SMD,SMD
sleep_Total problem,Sleep,Sleep_Sleep problem_SMD,,6.225,21,11,1.81,0.5357,SMD,SMD
sleep_Total problem,Sleep,Sleep_Sleep problem_SMD,,3.9,168,84,0.59,0.1582,SMD,SMD
sleep_Total problem,Sleep,Sleep_Sleep problem_SMD,,4.8,219,73,0.7,0.148,SMD,SMD
sleep_total score,Sleep,Sleep_Sleep problem_SMD,,11.17,96,48,0.6384,0.2093,SMD,SMD
sleep_total score,Sleep,Sleep_Sleep problem_SMD,,11.53,802,60,0.2722,0.1344,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,12.7,20,8,-0.764,0.4722,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,11.9,22,10,-1.211,0.4655,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,5.5,34,22,-1.4709,0.4008,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,5.1,30,18,-2.5795,0.4998,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,22.1,32,16,-1.1483,0.3816,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,24.2,22,6,-2.7974,0.638,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,20.9,26,10,0.0565,0.4032,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,21.1,105,27,1.8041,0.2557,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,27.2,30,20,-0.7966,0.4007,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,3.91,137,68,-0.7983,0.1776,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,13.3,9,4,0.74,0.7092,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,10.27,24,11,0.35,0.4133,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,11.3,36,19,-2.02,0.4184,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,9.4,34,16,-1.05,0.3699,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,34.41,72,36,-0.768,0.2442,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,34.41,72,36,-0.7787,0.2445,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,22.6,16,8,-1.4317,0.5604,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,15.6,41,28,0.1077,0.3358,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,4,72,39,0.0269,0.2365,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,7,55,23,0.2293,0.2742,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,10,85,75,-0.0654,0.3367,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,0.7,10777,73,0.0548,0.1174,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,0.5,11297,67,0.1165,0.1225,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,2.5,9620,65,-0.2615,0.1245,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,3.5,9585,63,-0.4987,0.1265,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,5.8,8550,60,-0.711,0.1297,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,6.8,8265,57,-1.0715,0.1332,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,9.6,7816,55,-0.6628,0.1354,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,11.7,7082,39,-0.5114,0.1606,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,9.3,118,52,-0.2414,0.1981,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,6.5,119,53,-0.239,0.1851,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,33,92,41,0.192,0.21,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,40.3,79,29,-0.423,0.236,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,30.8,28,10,-0.441,0.395,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,21.1,105,27,-0.304,0.224,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,21.1,105,27,0.261,0.224,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,27.2,30,20,-0.191,0.388,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,27.2,30,20,0.114,0.388,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,27.2,30,20,0.278,0.389,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,22,33,16,0.021,0.348,SMD,SMD
Sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,27.2,30,20,-0.19,0.3878,SMD,SMD
sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,10.8,64,32,-0.34,0.25,SMD,SMD
sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,3.92,137,68,-0.56,0.1735,SMD,SMD
sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,10.05,156,78,-1.33,0.176,SMD,SMD
sleep_total sleep time,Sleep,Sleep_Total sleep time_SMD,,10.7,38,19,0.04,0.324,SMD,SMD
sleep_Total sleep time(min),Sleep,Sleep_Total sleep time_SMD,,8.72,18,13,-1.59,0.6071,SMD,SMD
sleep_Total sleep time(min),Sleep,Sleep_Total sleep time_SMD,,7.8,44,21,-0.55,0.3087,SMD,SMD
sleep_Total sleep time(min),Sleep,Sleep_Total sleep time_SMD,,6.225,21,11,-0.6,0.3929,SMD,SMD
Sleep_true sleep,Sleep,Sleep_Sleep period time_SMD,,10.8,64,32,-0.34,0.25,SMD,SMD
Sleep_true sleep,Sleep,Sleep_Sleep period time_SMD,,15.5,39,25,-0.44,0.3367,SMD,SMD
Sleep_true sleep,Sleep,Sleep_Sleep period time_SMD,,11.3,22,10,0.62,0.3367,SMD,SMD
Sleep_true sleep,Sleep,Sleep_Sleep period time_SMD,,10.7,38,19,0.04,0.324,SMD,SMD
Sleep_true sleep,Sleep,Sleep_Sleep period time_SMD,,16.88,29,10,0.49,0.3954,SMD,SMD
Sleep_true sleep,Sleep,Sleep_Sleep period time_SMD,,7.53,94,37,-0.29,0.2117,SMD,SMD
Sleep_WASO,Sleep,Sleep_WASO_SMD,,12.7,20,8,0.437,0.4616,SMD,SMD
Sleep_WASO,Sleep,Sleep_WASO_SMD,,11.9,22,10,0.119,0.4286,SMD,SMD
Sleep_WASO,Sleep,Sleep_WASO_SMD,,8.72,18,13,0.1327,0.5267,SMD,SMD
Sleep_WASO,Sleep,Sleep_WASO_SMD,,5.5,34,22,1.5902,0.4074,SMD,SMD
Sleep_WASO,Sleep,Sleep_WASO_SMD,,5.1,30,18,1.8508,0.4427,SMD,SMD
Sleep_WASO,Sleep,Sleep_WASO_SMD,,27.2,30,20,2.0559,0.4695,SMD,SMD
Sleep_WASO,Sleep,Sleep_WASO_SMD,,3.91,137,68,0.068,0.1709,SMD,SMD
Sleep_WASO,Sleep,Sleep_WASO_SMD,,3.93,137,89,0,0.1709,SMD,SMD
Sleep_WASO,Sleep,Sleep_WASO_SMD,,34.41,72,36,-0.009,0.2357,SMD,SMD
Sleep_WASO,Sleep,Sleep_WASO_SMD,,34.41,72,36,-0.5366,0.2399,SMD,SMD
Sleep_WASO,Sleep,Sleep_WASO_SMD,,33,92,41,1.0035,0.2224,SMD,SMD
Sleep_WASO,Sleep,Sleep_WASO_SMD,,15.6,41,28,0.4859,0.3399,SMD,SMD
Sleep_WASO,Sleep,Sleep_WASO_SMD,,27.2,29,20,0.7474,0.4132,SMD,SMD
Sleep_WASO (%),Sleep,Sleep_WASO_SMD,,27.2,30,20,0.48,0.3929,SMD,SMD
sleep_WASO (%),Sleep,Sleep_WASO_SMD,,7.8,44,21,0.7,0.3112,SMD,SMD
sleep_WASO (%),Sleep,Sleep_WASO_SMD,,6.225,21,11,-0.69,0.3954,SMD,SMD
sleep_WASO (%),Sleep,Sleep_WASO_SMD,,9.4,34,16,0.21,0.3444,SMD,SMD
Sleep_WASO (min),Sleep,Sleep_WASO_SMD,,40.3,79,29,1.03,0.247,SMD,SMD
Sleep_WASO (min),Sleep,Sleep_WASO_SMD,,21.1,105,27,0.488,0.226,SMD,SMD
Sleep_WASO (min),Sleep,Sleep_WASO_SMD,,21.1,105,27,0.731,0.229,SMD,SMD
Sleep_WASO (min),Sleep,Sleep_WASO_SMD,,27.2,30,20,0.489,0.392,SMD,SMD
sleep_WASO (min),Sleep,Sleep_WASO_SMD,,3.92,137,68,0.07,0.1709,SMD,SMD
sleep_WASO (min),Sleep,Sleep_WASO_SMD,,10.05,156,78,0.78,0.1658,SMD,SMD
Sleep_WASO (no),Sleep,Sleep_WASO_SMD,,21.1,105,27,0.48,0.226,SMD,SMD
Sleep_WASO (no),Sleep,Sleep_WASO_SMD,,21.1,105,27,0.683,0.228,SMD,SMD
Sleep_WASO (no),Sleep,Sleep_WASO_SMD,,27.2,30,20,0.172,0.388,SMD,SMD
Sleep_WASO (no),Sleep,Sleep_WASO_SMD,,27.2,30,20,0.402,0.391,SMD,SMD
Sleep_WASO%,Sleep,Sleep_WASO_SMD,,22.1,32,16,1.8921,0.4254,SMD,SMD
Sleep_WASO%,Sleep,Sleep_WASO_SMD,,24.2,22,6,1.6319,0.5382,SMD,SMD
Sleep_WASO%,Sleep,Sleep_WASO_SMD,,20.9,26,10,1.633,0.4624,SMD,SMD
Suicide_Self-injurious behavior,Suicide,Suicide_Self-harm_ratio,,8.5,359597,,1.21,0.1189,OR,ratio
Suicide_Self-injurious behavior,Suicide,Suicide_Self-harm_ratio,,24,84,,2.4,0.4571,OR,ratio
Suicide_Self-injurious behavior,Suicide,Suicide_Self-harm_ratio,,40,333,,4.35,0.2343,OR,ratio
Suicide_Self-injurious behavior,Suicide,Suicide_Self-harm_ratio,,19.2,1023,,3.38,0.3755,OR,ratio
Suicide_Self-injurious behavior,Suicide,Suicide_Self-harm_ratio,,9,92,,4.25,0.6009,OR,ratio
Suicide_Self-injurious behavior,Suicide,Suicide_Self-harm_ratio,,9.5,231,,5.3,0.6575,OR,ratio
Suicide_Self-injurious behavior,Suicide,Suicide_Self-harm_ratio,,2.125,624,,3.09,0.1482,OR,ratio
Suicide_Self-injurious behavior,Suicide,Suicide_Self-harm_ratio,,51,833,,4.63,0.2045,OR,ratio
Suicide_Self-injurious behavior,Suicide,Suicide_Self-harm_ratio,,10,6412727,,5.4,0.1285,OR,ratio
Suicide_Self-injurious behavior,Suicide,Suicide_Self-harm_ratio,,44.5,4989,,2.96,0.1052,OR,ratio
Suicide_Self-injurious behavior,Suicide,Suicide_Self-harm_ratio,,3.75,196,,1.74,0.4505,OR,ratio
Suicide_Self-injurious behavior,Suicide,Suicide_Self-harm_ratio,,11,321,,6.22,0.328,OR,ratio
Suicide_Self-injurious behavior,Suicide,Suicide_Self-harm_ratio,,13,197,,4.44,0.4044,OR,ratio
Suicide_Self-injurious behavior,Suicide,Suicide_Self-harm_ratio,,4.08,1668,,2.13,0.1692,OR,ratio
Suicide_Self-injurious behavior,Suicide,Suicide_Self-harm_ratio,,45.5,162,,18.76,1.0364,OR,ratio
Suicide_Self-injurious behavior,Suicide,Suicide_Self-harm_ratio,,43,102108,,2.36,0.07,OR,ratio
Suicide_suicidality,Suicide,Suicide_suicidality_ratio,,40,333,,6.91,0.3413,OR,ratio
Suicide_suicidality,Suicide,Suicide_suicidality_ratio,,20.5,28090,,5.47,0.2108,OR,ratio
Suicide_suicidality,Suicide,Suicide_suicidality_ratio,,20.5,28090,,5.88,0.1952,OR,ratio
Suicide_suicidality,Suicide,Suicide_suicidality_ratio,,21.6,16577,,5.71,0.2424,OR,ratio
Suicide_suicidality,Suicide,Suicide_suicidality_ratio,,11.5,2720,,0.86,0.3433,OR,ratio
Suicide_suicidality,Suicide,Suicide_suicidality_ratio,,25.7,194,,3.25,0.4228,OR,ratio
Suicide_suicidality,Suicide,Suicide_suicidality_ratio,,12,515,,1.7,0.1482,OR,ratio
Suicide_suicidality,Suicide,Suicide_suicidality_ratio,,78,51535,,11.1,0.112,OR,ratio
Suicide_suicidality,Suicide,Suicide_suicidality_ratio,,11,193,,2.51,0.5405,OR,ratio
Suicide_suicidality,Suicide,Suicide_suicidality_ratio,,22,325008,,2.31,0.0463,OR,ratio
Suicide_suicidality,Suicide,Suicide_suicidality_ratio,,22,325008,,2.9,0.1056,OR,ratio
Suicide_suicidality,Suicide,Suicide_suicidality_ratio,,15,23145,,2.05,0.3568,OR,ratio
Suicide_suicidality,Suicide,Suicide_suicidality_ratio,,42,9121537,,1.13,0.1402,OR,ratio
Suicide_suicidality,Suicide,Suicide_suicidality_ratio,,12,6559266,,2.38,0.0536,OR,ratio
Suicide_suicidality,Suicide,Suicide_suicidality_ratio,,12,6559266,,4.42,0.0611,OR,ratio
Suicide_suicidality,Suicide,Suicide_suicidality_ratio,,15.5,10489,,5.43,0.3112,OR,ratio
Suicide_suicidality,Suicide,Suicide_suicidality_ratio,,54,689,,2.94,0.186,OR,ratio
Suicide_suicidality,Suicide,Suicide_suicidality_ratio,,52.5,336,,4.05,0.4427,OR,ratio
Suicide_suicidality,Suicide,Suicide_suicidality_ratio,,43,102108,,3.89,0.0692,OR,ratio
